# Character tag -> voice stem mapping
# Generated by 1.character.py
# Format: <character_tag>  <voice_stem>
# Voice stems are resolved by globbing voices/**/<stem>.wav
# Each stem must have a sibling <stem>.reference.txt

male_doctor_watson                   alok_en
male_detective_holmes                ramesh_en
male_silas_morn                      bala_en
male_inspector_scotland_yard         gaurav_en
male_sir_lionel_greaves              himanshu_en
female_maid_elsie                    aisha_en
female_helena_shaw                   ayesha_en
male_reverend_merriweather           indrajeet_en
male_landlady_mrs_hudson             nikhil_en
female_aristocrat_lady_winterbourne  deshna_en
male_percival_shaw                   sarang_en
male_stage_manager_mr_blinch         sid_en
male_lord_winterbourne               yuvraj_en
male_colonel_rookwood                alok_en
