(scene_1.1) {{loc_1}}, {Cold Winter Morning}; ((male_doctor_watson)){Neutral}, {Sitting on armchair near fireplace}{Reading the morning newspaper}; ((male_detective_holmes)){Calm}, {Standing by the window}{Examining footprints on the sill with a magnifying glass};
(scene_1.2) {{loc_1}}, {Cold Winter Morning}; ((male_detective_holmes)){Keen}, {Standing near window}{Pointing at sill}; ((male_doctor_watson)){Curious}, {Leaning forward in armchair}{Lowering newspaper};
(scene_1.3) {{loc_1}}, {Cold Winter Morning}; ((male_doctor_watson)){Incredulous}, {Sitting near fireplace}{Watching Holmes intently}; ((male_detective_holmes)){Confident}, {Standing straight near window}{Holding magnifying glass upright};
(scene_1.4) {{loc_1}}, {Cold Winter Morning}; ((male_detective_holmes)){Serious}, {Standing beside window}{Examining sill closely}; ((male_doctor_watson)){Attentive}, {Standing near him}{Observing intently};
(scene_1.5) {{loc_1}}, {Cold Winter Morning}; ((male_doctor_watson)){Amazed}, {Standing by fireplace}{Hands behind back}; ((male_detective_holmes)){Composed}, {Crossing room toward mantel}{Placing glass upon table};
(scene_1.6) {{loc_2}}, {Cold Winter Morning}; ((male_detective_holmes)){Focused}, {Standing by table}{Opening velvet box}; ((male_doctor_watson)){Intrigued}, {Standing opposite side of table}{Peering inside box};
(scene_1.7) {{loc_2}}, {Cold Winter Morning}; ((male_doctor_watson)){Startled}, {Standing near table}{Looking at ring intently}; ((male_detective_holmes)){Analytical}, {Holding ring between fingers}{Inspecting carefully};
(scene_1.8) {{loc_2}}, {Cold Winter Morning}; ((male_detective_holmes)){Absorbed}, {Standing upright near table}{Examining inscription with magnifier}; ((male_doctor_watson)){Curious}, {Standing beside Holmes}{Trying to read inscription};
(scene_1.9) {{loc_2}}, {Cold Winter Morning}; ((male_doctor_watson)){Thoughtful}, {Resting one hand on table}{Gazing at Holmes}; ((male_detective_holmes)){Reflective}, {Placing ring back in box}{Closing lid gently};
(scene_1.10) {{loc_2}}, {Cold Winter Morning}; ((male_detective_holmes)){Calm}, {Standing at table}{Pocketing box}; ((male_doctor_watson)){Concerned}, {Standing near hearth}{Watching Holmes closely};
(scene_1.11) {{loc_2}}, {Cold Winter Morning}; ((male_doctor_watson)){Resolute}, {Standing upright near hearth}{Facing Holmes}; ((male_detective_holmes)){Composed}, {Moving toward window}{Gazing out};
(scene_1.12) {{loc_3}}, {Late Morning Fog}; ((male_detective_holmes)){Alert}, {Standing near door}{Reaching for handle}; ((male_doctor_watson)){Surprised}, {Following Holmes}{Stopping behind him};
(scene_1.13) {{loc_3}}, {Late Morning Fog}; ((female_lady_unknown)){Anxious}, {Standing at doorway}{Holding veil across face}; ((male_detective_holmes)){Composed}, {Standing upright before her}{Inclining head slightly}; ((male_doctor_watson)){Curious}, {Standing behind Holmes}{Observing silently};
(scene_1.14) {{loc_4}}, {Late Morning Fog}; ((female_lady_unknown)){Nervous}, {Sitting on armchair near fireplace}{Clutching small satchel}; ((male_detective_holmes)){Attentive}, {Seated opposite her}{Hands clasped}; ((male_doctor_watson)){Calm}, {Standing near mantel}{Observing both};
(scene_1.15) {{loc_4}}, {Late Morning Fog}; ((female_lady_unknown)){Distressed}, {Sitting forward in armchair}{Opening satchel and producing envelope}; ((male_detective_holmes)){Intrigued}, {Seated opposite}{Watching closely}; ((male_doctor_watson)){Alert}, {Standing near mantel}{Observing her movements};
(scene_1.16) {{loc_4}}, {Late Morning Fog}; ((male_detective_holmes)){Calm}, {Taking envelope from lady}{Examining seal}; ((female_lady_unknown)){Anxious}, {Sitting upright}{Watching Holmes anxiously}; ((male_doctor_watson)){Focused}, {Leaning slightly from mantel}{Observing Holmes’s inspection};
(scene_1.17) {{loc_4}}, {Late Morning Fog}; ((male_doctor_watson)){Reflective}, {Standing by mantel}{Watching fire burn low}; ((male_detective_holmes)){Serious}, {Seated near lady}{Reading letter}; ((female_lady_unknown)){Tense}, {Hands clasped tightly}{Waiting for Holmes’s words};
(scene_2.1) {{loc_5}}, {Cold Evening Fog}; ((male_doctor_watson)){Neutral}, {Standing near cab}{Adjusting coat collar}; ((male_detective_holmes)){Determined}, {Standing beside Watson}{Lighting lantern}; ((female_lady_unknown)){Nervous}, {Seated inside cab}{Holding satchel tightly};
(scene_2.2) {{loc_5}}, {Cold Evening Fog}; ((male_detective_holmes)){Serious}, {Standing beside cab}{Looking toward Watson}; ((male_doctor_watson)){Resolute}, {Reaching into overcoat pocket}{Checking revolver};
(scene_2.3) {{loc_5}}, {Cold Evening Fog}; ((male_doctor_watson)){Concerned}, {Standing near cab}{Facing Holmes}; ((male_detective_holmes)){Calm}, {Adjusting scarf}{Gazing down the foggy street};
(scene_2.4) {{loc_6}}, {Cold Evening Fog}; ((male_detective_holmes)){Focused}, {Sitting opposite Watson}{Holding the velvet box on lap}; ((male_doctor_watson)){Thoughtful}, {Sitting beside lady}{Looking toward Holmes}; ((female_lady_unknown)){Uneasy}, {Sitting upright}{Clutching satchel on knees};
(scene_2.5) {{loc_6}}, {Cold Evening Fog}; ((female_lady_unknown)){Sorrowful}, {Looking down at satchel}{Speaking softly}; ((male_detective_holmes)){Attentive}, {Holding ring between fingers}{Watching her closely}; ((male_doctor_watson)){Sympathetic}, {Leaning slightly forward}{Listening};
