Workflow runner started. Python executable: C:\Users\prith\.pyenv\pyenv-win\versions\3.12.10\python.exe
Working directory: D:\.comfyui\gen.image
Emptying ComfyUI input and output folders...
Removed file: D:\.comfyui\ComfyUI\input\female_landlady_mrs_hudmore.jpg
Removed file: D:\.comfyui\ComfyUI\input\male_client_stranger.jpg
Removed file: D:\.comfyui\ComfyUI\input\male_detective_holmes.jpg
Removed file: D:\.comfyui\ComfyUI\input\male_doctor_watson.jpg
Removed file: D:\.comfyui\ComfyUI\output\scene_1.10_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.11_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.12_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.13_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.14_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.15_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.16_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.17_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.18_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.19_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.1_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.20_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.21_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.22_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.23_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.24_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.25_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.26_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.27_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.28_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.29_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.2_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.30_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.3_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.4_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.5_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.6_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.7_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.8_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_1.9_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.10_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.11_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.12_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.13_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.14_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.15_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.16_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.17_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.18_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.19_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.1_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.20_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.21_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.22_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.23_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.24_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.25_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.26_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.27_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.28_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.2_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.3_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.4_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.5_00001_.png
Removed file: D:\.comfyui\ComfyUI\output\scene_2.6_00001_.png
